kharakteristik,sebagai persentase perempuan minoritas yang terlihat di setiap cma,sebagai persentase dari total penduduk perempuan di setiap cma/kotamadya,kelompok minoritas terbesar yang terlihat di setiap cma/kotamadya,kelompok minoritas terbesar yang terlihat sebagai persentase dari total populasi perempuan di setiap cma/kotamadya
toronto cma,100.0,47.6,south asian,14.7
toronto cma toronto,49.3,49.8,south asian,11.8
toronto cma mississauga,14.5,54.1,south asian,21.4
toronto cma brampton,13.0,66.5,south asian,37.7
toronto cma markham,8.2,72.5,chinese,38.5
toronto cma richmond hill,3.7,53.4,chinese,23.6
vancouver cma,100.0,46.1,chinese,18.6
vancouver cma vancouver,30.2,53.7,chinese,28.6
vancouver cma surrey,22.9,52.7,south asian,30.3
vancouver cma richmond,13.1,71.3,chinese,47.7
vancouver cma burnaby,12.7,60.9,chinese,31.6
vancouver cma coquitlam,5.3,44.6,chinese,17.5
cma montreal,100.0,20.2,black,5.9
montreal cma montreal,66.8,31.3,black,9.4
montreal cma laval,10.6,20.5,black,6.2
montreal cma longueuil,4.2,14.0,black,4.8
montreal cma brossard,4.0,38.0,chinese,12.3
montreal cma dollard-des ormeaux,2.4,36.4,south asian,9.9
calgary cma,100.0,28.4,south asian,6.9
calgary cma calgary,96.5,30.3,south asian,7.3
calgary cma calgary chestermere,1.3,29.3,south asian,9.5
calgary cma calgary airdrie,1.1,8.6,filipino,2.1
calgary cma calgary rocky view county,1.0,9.3,south asian,3.7
calgary cma calgary cochrane,0.2,3.4,filipino,1.3
