kharakteristik,wanita 90% terbawah,wanita 5% berikutnya,wanita berikutnya 4%,wanita teratas 1%,pria terbawah 90%,laki-laki berikutnya 5%,laki-laki berikutnya 4%,pria teratas 1%
persen status perkawinan,,,,,,,,
persen status perkawinan belum pernah menikah,40.3,21.5,18.8,14.4,44.6,19.7,14.4,8.3
persen status perkawinan menikah,44.5,60.0,63.1,68.3,45.1,69.0,74.4,80.2
persen status perkawinannya berpisah,3.6,3.5,3.3,3.1,2.7,2.9,2.7,2.9
persen status perkawinannya bercerai,9.6,12.5,12.4,11.2,6.9,7.7,7.6,7.5
persen status perkawinannya adalah janda,2.0,2.5,2.5,3.1,0.8,0.7,0.8,1.1
persen status keluarga,,,,,,,,
persen status keluarga pasangan menikah atau pasangan ipar,59.5,71.9,74.0,77.3,59.9,82.7,85.4,88.4
persen status keluarga orang tua tunggal,9.1,9.5,8.7,8.0,2.5,3.0,2.7,2.6
persen status keluarga anak,14.1,1.9,1.5,0.8,17.1,1.6,0.9,0.4
persen orang berstatus keluarga yang tidak termasuk dalam keluarga sensus,17.3,16.7,15.8,13.9,20.4,12.7,11.0,8.6
persen jumlah anak,,,,,,,,
persen jumlah anak tidak mempunyai anak,55.3,43.8,43.0,41.6,61.2,40.4,38.8,37.6
persen jumlah anak satu anak,18.5,19.9,19.8,19.6,15.2,19.8,19.1,17.3
persen jumlah anak dua anak,19.1,27.4,27.8,28.3,16.6,28.8,30.0,29.8
persen jumlah anak tiga anak,5.6,7.2,7.6,8.3,5.2,8.8,9.6,12.2
persen jumlah anak empat anak atau lebih,1.5,1.7,1.8,2.2,1.8,2.3,2.4,3.2
